Date,ESM6P 1890 Index,ESM6P 1895 Index,ESM6P 1900 Index,ESM6P 1905 Index,ESM6P 1910 Index,ESM6P 1915 Index,ESM6P 1920 Index,ESM6P 1925 Index,ESM6P 1930 Index,ESM6P 1935 Index,ESM6P 1940 Index,ESM6P 1945 Index,ESM6P 1950 Index,ESM6P 1955 Index,ESM6P 1960 Index,ESM6P 1965 Index,ESM6P 1970 Index,ESM6P 1975 Index,Open,High,Low,Close,SMAVG (200) on Close
5/23/2016,2.8,3,3.2,3.45,3.7,3.95,4.25,4.55,4.9,5.25,5.75,6,6.5,7,7.75,8.25,9,9.5,2.65,2.65,2.35,2.6,
5/20/2016,3.15,3.35,3.6,3.85,4.1,4.35,4.65,5,5.5,5.75,6.25,6.75,7.25,7.75,8.25,8.75,9.5,10,4,4,3.3,2.95,
5/19/2016,5,5.5,5.75,6,6.5,7,7.25,7.75,8.25,8.75,9.25,9.75,10.5,11.25,12,12.75,13.5,14.5,5.5,6.75,4.85,4.8,
5/18/2016,5,5.25,5.5,6,6.25,6.75,7,7.5,8,8.5,9,9.75,10.5,11,12,12.75,13.5,14.5,4.2,5.5,4,4.7,
5/17/2016,4.95,5.25,5.5,5.75,6,6.5,7,7.5,8,8.5,9,9.5,10.25,11,11.5,12.25,13,14,3.3,5,3.3,4.7,
5/16/2016,3.7,3.95,4.2,4.45,4.7,5,5.25,5.5,6,6.25,6.75,7,7.5,8,8.5,9.25,9.75,10.5,5.25,5.25,3.35,3.5,
5/13/2016,5.5,6,6.25,6.75,7,7.5,8,8.5,9,9.5,10,10.75,11.5,12,13,13.75,14.5,15.5,4.4,6,4.2,5.25,
5/12/2016,4.55,4.8,5,5.25,5.5,6,6.5,6.75,7.25,7.75,8.25,8.75,9.25,9.75,10.5,11,11.75,12.5,4.05,5.5,4.05,4.35,
5/11/2016,5,5.25,5.5,6,6.25,6.75,7,7.5,8,8.5,9,9.5,10,10.5,11.25,12,12.5,13.5,3.75,4.55,3.6,4.8,
5/10/2016,3.8,4,4.2,4.4,4.65,4.85,5,5.5,5.75,6,6.5,6.75,7.25,7.5,8,8.5,9,9.75,4.05,4.05,4,3.6,
5/9/2016,5.75,6,6.5,6.75,7,7.5,8,8.5,9,9.5,10,10.5,11.25,11.75,12.5,13,13.75,14.5,6,6,5.25,5.5,
5/6/2016,6.75,7,7.5,8,8.25,8.75,9.25,9.75,10.25,10.75,11.25,12,12.5,13.25,14,14.75,15.5,16.5,8.75,8.75,8,6.5,
5/5/2016,9,9.25,9.75,10.25,10.75,11.25,11.75,12.5,13,13.75,14.5,15,16,16.75,17.5,18.5,19.5,20.5,8,9,7.5,8.5,
5/4/2016,9,9.5,10,10.5,11,11.5,12,12.75,13.25,14,14.5,15.25,16,16.75,17.5,18.5,19.5,20.5,8.25,9.75,8.25,8.5,
5/3/2016,8.25,8.75,9,9.5,10,10.5,11,11.5,12,12.5,13,13.75,14.5,15,16,16.75,17.5,18.5,8.25,9,7.25,8,
5/2/2016,7,7.25,7.5,7.75,8,8.5,9,9.25,9.75,10,10.5,11,11.5,12.25,12.75,13.5,14,14.75,8.5,8.5,7.5,6.5,
4/29/2016,9.5,10,10.5,10.75,11.25,11.75,12.25,13,13.5,14,14.75,15.5,16.25,17,17.75,18.5,19.25,20,8.5,11.75,8.5,9.25,
4/28/2016,8.25,8.5,9,9.5,9.75,10.25,10.5,11,11.5,12,12.5,13.25,13.75,14.5,15,15.75,16.5,17,5.75,8,5.75,8,
4/27/2016,6,6.25,6.5,6.75,7,7.5,7.75,8,8.5,8.75,9.25,9.75,10.25,10.75,11.25,11.75,12.25,12.75,7.5,7.5,7.25,5.75,
4/26/2016,6.5,7,7.25,7.5,7.75,8.25,8.5,9,9.5,9.75,10.25,10.5,11,11.5,12,12.5,13.25,13.75,6.75,6.75,6.75,6.25,
4/25/2016,7.5,7.75,8,8.5,8.75,9,9.5,10,10.25,10.75,11.25,11.75,12.25,12.75,13.5,14,14.5,15.25,7.25,7.25,7.25,7.25,
4/22/2016,7.25,7.5,7.75,8,8.5,9,9.25,9.75,10,10.5,11,11.5,12,12.5,13,13.5,14.25,14.75,7,7,7,7,
4/21/2016,8.25,8.75,9,9.5,10,10.25,10.75,11,11.5,12,12.5,13,13.5,14,14.75,15.25,16,16.75,7,7.75,7,8,
4/20/2016,7,7.25,7.5,7.75,8,8.5,8.75,9.25,9.5,10,10.5,10.75,11.25,11.75,12.25,12.75,13.25,14,6.25,7.25,6.25,6.5,
4/19/2016,7.25,7.5,8,8.25,8.5,9,9.5,9.75,10.25,10.5,11,11.5,12,12.5,13,13.5,14,14.75,7,7.5,7,7,
4/18/2016,8,8.5,8.75,9,9.5,10,10.25,10.75,11,11.5,12,12.5,13,13.5,14,14.75,15.5,16,11,11,7.75,7.75,
4/15/2016,10.5,10.75,11.25,11.5,12,12.5,13,13.5,14,14.75,15.25,16,16.5,17,17.75,18.5,19.25,20,10,10.25,10,10,
4/14/2016,10.75,11.25,11.5,12,12.5,13,13.5,14,14.5,15,15.75,16.25,17,17.75,18.5,19,20,20.75,10.75,10.75,10,10.5,
4/13/2016,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16.25,16.75,17.5,18.25,19,19.75,20.5,21.5,12,12,10.5,10.75,
4/12/2016,14.75,15.25,16,16.5,17,17.75,18.5,19.25,20,20.75,21.5,22.25,23,24,25,25.75,26.75,27.75,18.75,18.75,15.25,14.25,
4/11/2016,19.5,20,20.75,21.5,22.25,23,24,24.75,25.75,26.5,27.5,28.5,29.5,30.5,31.75,32.75,34,35.25,15.75,16.75,15.25,18.75,
4/8/2016,18.5,19,19.75,20.5,21,22,22.75,23.5,24.5,25.25,26.25,27.25,28.25,29.25,30.25,31.25,32.5,33.5,16.75,16.75,16.75,17.75,
4/7/2016,21,21.5,22.25,23,23.75,24.5,25.5,26.25,27.25,28,29,30,31,32.25,33.25,34.5,35.75,37,18.5,21.5,18,20.25,
4/6/2016,14.5,15,15.75,16.25,17,17.5,18.25,19,19.5,20.25,21,22,22.75,23.5,24.5,25.5,26.25,27.25,19.75,19.75,16.25,14,
4/5/2016,19.75,20.5,21,21.75,22.5,23.5,24.25,25,25.75,26.75,27.5,28.5,29.5,30.5,31.75,32.75,34,35.25,17.5,17.5,17.5,19,
4/4/2016,15.25,15.75,16.25,17,17.5,18.25,19,19.5,20.25,21,22,22.75,23.5,24.5,25.5,26.25,27.25,28.25,14.25,15,14.25,14.75,
4/1/2016,14,14.5,15,15.5,16.25,16.75,17.5,18,18.75,19.5,20.25,21,21.75,22.5,23.25,24.25,25,26,14.5,14.5,14.5,13.5,
3/31/2016,17,17.5,18,18.75,19.25,20,20.75,21.5,22.25,23,23.75,24.75,25.5,26.5,27.5,28.5,29.5,30.5,15.25,15.25,15.25,16.5,
3/30/2016,16,16.75,17.25,18,18.5,19.25,20,20.75,21.5,22.25,23,23.75,24.5,25.5,26.5,27.25,28.25,29.25,15.5,15.5,15.5,15.5,
3/29/2016,18,18.75,19.25,20,20.5,21.25,22,23,23.75,24.5,25.5,26.25,27.25,28.25,29.25,30.25,31.25,32.5,17.25,17.25,17.25,17.5,
3/28/2016,23.5,24.25,25,26,26.75,27.75,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.75,38,39.25,40.5,23.5,23.5,23.5,22.75,
3/24/2016,24.5,25.25,26,27,27.75,28.75,29.5,30.5,31.5,32.5,33.75,34.75,36,37,38.25,39.5,40.75,42,28.25,28.25,24.75,23.75,
3/23/2016,25,25.75,26.5,27.5,28.25,29.25,30,31,32,33,34.25,35.25,36.5,37.5,38.75,40,41.25,42.5,23.5,24.25,23.5,24.25,
3/22/2016,22,22.75,23.5,24,25,25.75,26.5,27.25,28.25,29,30,31,32,33,34,35,36.25,37.5,23,23.75,21.5,21.25,
3/21/2016,22,22.75,23.5,24,25,25.75,26.5,27.25,28.25,29,30,31,32,33,34.25,35.25,36.5,37.75,22.5,23.5,22.5,21.25,
3/18/2016,24.25,25,25.75,26.5,27.5,28.25,29.25,30,31,32,33,34,35,36.25,37.25,38.5,39.75,41,22.75,22.75,22.75,23.5,
3/17/2016,25.75,26.5,27.5,28.25,29,30,31,32,33,34,35,36,37.25,38.5,39.5,40.75,42,43.5,28.75,28.75,24.5,25,
3/16/2016,29.5,30.5,31.25,32.25,33.25,34.25,35.25,36.5,37.5,38.5,39.75,41,42.25,43.5,44.75,46.25,47.5,49,31.75,31.75,31.75,28.5,
3/15/2016,34,35,36,37,38,39.25,40.5,41.5,42.75,44,45.25,46.5,47.75,49.25,50.5,52,53.5,55,35.5,35.5,35.5,33,
3/14/2016,34,35,36,37,38,39,40,41.25,42.5,43.5,44.75,46,47.5,48.75,50,51.5,53,54.5,33,33,33,33,
3/11/2016,35.25,36.25,37.25,38.25,39.25,40.5,41.5,42.75,44,45.25,46.5,47.75,49,50.25,51.75,53,54.5,56,35.5,35.5,35.5,34.25,
3/10/2016,44.5,45.75,47,48.25,49.5,51,52.25,53.75,55,56.5,58,59.75,61.25,63,64.75,66.5,68.25,70,43.25,43.25,43.25,43.25,
3/9/2016,45.25,46.5,47.75,49,50.25,51.75,53,54.5,56,57.5,59,60.75,62.25,64,65.75,67.5,69.25,71,44,44,44,44,
3/8/2016,48.25,49.5,50.75,52.25,53.5,55,56.5,58,59.5,61,62.75,64.5,66,67.75,69.5,71.5,73.25,75.25,45,45,45,47,
3/7/2016,41.25,42.5,43.5,44.75,46,47.5,48.75,50,51.5,52.75,54.25,55.75,57.25,58.75,60.5,62,63.75,65.5,40.25,40.25,40.25,40.25,
3/4/2016,42.75,44,45.25,46.5,47.75,49,50.25,51.75,53,54.5,56,57.5,59,60.5,62.25,64,65.75,67.5,41.75,41.75,41.75,41.75,
3/3/2016,43.75,45,46.25,47.5,48.75,50,51.5,53,54.5,56,57.5,59,60.5,62.25,64,65.75,67.5,69.5,42.5,42.5,42.5,42.5,
3/2/2016,46.5,47.75,49,50.5,51.75,53.25,54.5,56,57.5,59,60.75,62.25,64,65.5,67.5,69.25,71,73,48,48,48,45.25,
3/1/2016,49.75,51,52.25,53.75,55,56.5,58,59.5,61.25,62.75,64.5,66.25,68,69.75,71.5,73.5,75.25,77.25,48.5,48.5,48.5,48.5,
2/29/2016,70,71.75,73.5,75.5,77.25,79,81,83,85,87.25,89.5,91.5,93.75,96,98.5,100.75,103.25,105.5,68.5,68.5,68.5,68.5,
2/26/2016,65.5,67,68.75,70.5,72,74,75.75,77.5,79.5,81.5,83.5,85.5,87.5,89.75,92,94,96.25,98.5,64,64,64,64,
2/25/2016,62,63.5,65,66.5,68.25,70,71.75,73.5,75.5,77.25,79.25,81.25,83.25,85.5,87.5,89.75,91.75,94,60.5,60.5,60.5,60.5,
2/24/2016,72.5,74,76,77.75,79.5,81.5,83.5,85.5,87.5,89.5,91.5,93.75,96,98.25,100.5,103,105.25,107.75,70.75,70.75,70.75,70.75,
2/23/2016,78,80,81.75,83.75,85.75,87.75,89.75,92,94,96.25,98.5,100.75,103,105.5,108,110.5,113,115.75,76.25,76.25,76.25,76.25,
2/22/2016,68.5,70.25,72,73.75,75.5,77.25,79.25,81,83,85,87,89.25,91.5,93.75,96,98.25,100.5,103,67,67,67,67,
2/19/2016,80.5,82.5,84.25,86.25,88.25,90.25,92.5,94.5,96.75,98.75,101,103.5,105.75,108.25,110.75,113.25,115.75,118.5,78.75,78.75,78.75,78.75,
2/18/2016,82.25,84.25,86,88,90,92,94,96.25,98.25,100.5,102.5,105,107.25,109.5,112,114.5,117,119.5,80.5,80.5,80.5,80.5,
2/17/2016,82,83.75,85.5,87.5,89.5,91.5,93.5,95.5,97.5,99.75,102,104,106.25,108.5,111,113.25,115.75,118.25,80.25,80.25,80.25,80.25,
2/16/2016,99,101,103.25,105.5,107.5,109.75,112,114.5,117,119.25,121.75,124.5,127,129.5,132.25,135,137.75,140.5,101.75,101.75,101.75,96.75,
2/12/2016,117,119.5,122,124.5,127,129.5,132,134.75,137.25,140,142.75,145.5,148.5,151.5,154.5,157.5,160.5,163.5,114.75,114.75,114.75,114.75,
2/11/2016,137,139.75,142.5,145,148,150.75,153.5,156.5,159.5,162.5,165.5,168.75,171.75,175,178.25,181.5,185,188.5,134.5,134.5,134.5,134.5,
2/10/2016,123,125.5,128,130.5,133.25,136,138.5,141.25,144,147,149.75,152.75,155.75,158.75,162,165,168,171.5,120.5,120.5,120.5,120.5,
2/9/2016,122.5,125,127.5,130,132.75,135.25,138,140.5,143.25,146,149,152,154.75,157.75,161,164,167,170.25,120.25,120.25,120.25,120.25,
2/8/2016,120,122.5,125,127.5,130,132.75,135.5,138,140.75,143.5,146.25,149.25,152.25,155.25,158.25,161.25,164.5,167.5,117.75,117.75,117.75,117.75,
2/5/2016,106.25,108.5,110.75,113,115.5,117.75,120.25,122.75,125.25,127.75,130.5,133,135.75,138.5,141.25,144.25,147,150,104,104,104,104,
2/4/2016,90,92,94,96,98,100,102.25,104.25,106.5,108.75,111,113.5,116,118.5,121,123.5,126,128.75,88,88,88,88,
2/3/2016,88.5,90.5,92.5,94.5,96.5,98.5,100.75,102.75,105,107.25,109.5,111.75,114.25,116.75,119.25,121.75,124.5,127,86.75,86.75,86.75,86.75,
2/2/2016,93.5,95.5,97.5,99.5,101.75,103.75,106,108.25,110.5,113,115.5,118,120.5,123,125.5,128.25,131,133.75,91.5,91.5,91.5,91.5,
2/1/2016,77.25,79,80.75,82.5,84.25,86.25,88,90,92,94.25,96.25,98.5,100.5,102.75,105,107.5,109.75,112.25,79.25,79.25,79.25,75.5,
1/29/2016,78.5,80.25,82,83.75,85.75,87.5,89.5,91.5,93.5,95.5,97.5,99.75,102,104,106.5,108.75,111.25,113.5,96.75,96.75,96.75,76.75,
1/28/2016,101.5,103.75,105.75,108,110.25,112.5,115,117.5,120,122.5,125,127.5,130.25,133,136,138.75,141.75,144.75,99.5,99.5,99.5,99.5,
1/27/2016,106,108.25,110.5,112.75,115.25,117.5,120,122.5,125,127.5,130.25,133,135.75,138.5,141.25,144.25,147,150,104,104,104,104,
1/26/2016,96.25,98.25,100.25,102.5,104.5,106.75,109,111.25,113.5,116,118.5,121,123.5,126,128.75,131.5,134,137,94.25,94.25,94.25,94.25,
1/25/2016,109.75,112,114.25,116.5,119,121.5,124,126.5,129,131.5,134.25,137,139.75,142.5,145.5,148.25,151.25,154.25,107.5,107.5,107.5,107.5,
1/22/2016,95.75,97.75,99.75,101.75,104,106,108,110.5,112.75,115,117.5,119.75,122.25,124.75,127.25,129.75,132.5,135.25,99.5,99.5,99.5,93.75,
1/21/2016,118.5,121,123.25,125.5,128,130.5,133,135.5,138,140.75,143.5,146.25,149,151.75,154.75,157.5,160.5,163.5,116.5,116.5,116.5,116.5,
1/20/2016,121.5,124,126.5,128.75,131.25,133.75,136.25,139,141.5,144.25,147,149.75,152.75,155.5,158.5,161.5,164.5,167.75,119.25,119.25,119.25,119.25,
1/19/2016,111.75,114,116,118.5,120.75,123,125.5,128,130.5,132.75,135.5,138,140.75,143.5,146.25,149,152,154.75,109.5,109.5,109.5,109.5,
1/15/2016,113,115.25,117.5,119.75,122,124.25,126.75,129,131.5,134,136.5,139,141.5,144.25,147,149.75,152.5,155.5,111,111,111,111,
1/14/2016,93,94.75,96.75,98.5,100.5,102.5,104.75,106.75,109,111,113.25,115.5,118,120.25,122.5,125,127.5,130,91,91,91,91,
1/13/2016,109.25,111.25,113.5,115.5,118,120.25,122.5,125,127.25,129.75,132.25,134.75,137.5,140,142.75,145.5,148.25,151,98.5,98.5,98.5,107,
1/12/2016,87.75,89.5,91.25,93.25,95,97,99,101,103,105.25,107.25,109.25,111.5,113.75,116,118.5,120.75,123.25,86,86,86,86,
1/11/2016,94.25,96,98,100,102,104,106,108,110,112,114.25,116.5,118.75,121,123.5,126,128.25,130.75,92.5,92.5,92.5,92.5,
1/8/2016,101,103,105,107,109,111,113,115,117.25,119.5,121.75,124,126.25,128.5,131,133.25,135.75,138.25,99,99,99,99,
