Date,ESM6P 1890 Index,ESM6P 1895 Index,ESM6P 1900 Index,ESM6P 1905 Index,ESM6P 1910 Index,ESM6P 1915 Index,ESM6P 1920 Index,ESM6P 1925 Index,ESM6P 1930 Index,ESM6P 1935 Index,ESM6P 1940 Index,ESM6P 1945 Index,ESM6P 1950 Index,ESM6P 1955 Index,ESM6P 1960 Index,ESM6P 1965 Index,ESM6P 1970 Index,ESM6P 1975 Index,Open,High,Low,Close,SMAVG (200) on Close
1/7/2016,90.5,92.25,94,95.75,97.75,99.5,101.5,103.5,105.5,107.5,109.75,111.75,114,116,118.25,120.5,123,125.25,88.75,88.75,88.75,88.75,
1/6/2016,68.5,69.75,71.25,72.5,74,75.5,77,78.5,80.25,81.75,83.5,85.25,87,88.5,90.5,92.25,94,96,67,67,67,67,
1/5/2016,60,61.25,62.5,64,65.25,66.5,68,69.25,70.75,72.25,73.75,75.25,76.75,78.25,80,81.5,83.25,85,59,59,59,59,
1/4/2016,63.5,64.75,66,67.25,68.5,70,71.5,72.75,74.25,75.75,77.25,78.75,80.25,82,83.5,85.25,87,88.5,62,62,62,62,
12/31/2015,54.75,56,57,58,59.25,60.5,61.75,63,64.25,65.5,66.75,68.25,69.5,71,72.5,74,75.5,77,53.75,53.75,53.75,53.75,
12/30/2015,49.5,50.5,51.5,52.5,53.5,54.5,55.75,57,58.25,59.5,60.5,61.75,63,64.25,65.5,67,68.25,69.75,48.5,48.5,48.5,48.5,
12/29/2015,45,46,46.75,47.75,48.75,49.75,50.75,51.75,53,54,55,56.25,57.25,58.5,59.75,61,62,63.5,44,44,44,44,
12/28/2015,51,52,53.25,54.25,55.5,56.5,57.75,59,60,61.25,62.5,63.75,65,66.5,67.75,69,70.5,72,50,50,50,50,
12/24/2015,51.5,52.5,53.75,54.75,56,57,58.25,59.5,60.5,61.75,63,64.5,65.75,67,68.5,69.75,71.25,72.5,50.5,50.5,50.5,50.5,
12/23/2015,51,52,53.25,54.25,55.5,56.5,57.5,58.75,60,61.25,62.5,63.75,65,66.25,67.5,69,70.5,71.75,50,50,50,50,
12/22/2015,56,57,58.25,59.5,60.75,62,63.25,64.5,65.75,67,68.5,69.75,71.25,72.75,74.25,75.75,77.25,78.75,57.75,57.75,57.75,55,
12/21/2015,64.75,66,67.5,68.75,70,71.5,72.75,74.25,75.5,77,78.5,80,81.5,83,84.5,86.25,88,89.5,63.5,63.5,63.5,63.5,
12/18/2015,74.5,76,77.25,78.75,80.25,81.75,83.25,85,86.5,88,89.75,91.5,93,94.75,96.5,98.5,100.25,102,73,73,73,73,
12/17/2015,63.5,,66,,68.5,,71,72.5,74,,76.75,,79.5,,82.75,,85.75,87.5,,,,,
12/16/2015,52,,54.25,,56.5,,58.5,59.75,61,,63.5,,65.75,,68.25,,71,72.5,,,,,
12/15/2015,62.5,,64.75,,67.25,,69.75,71,72.25,,75,,77.75,,80.75,,83.75,85.25,,,,,
12/14/2015,71.75,,74.5,,77,,80,81.5,83,,86,,89,,92.25,,95.75,97.5,,,,,
12/11/2015,78,,80.75,,83.75,,86.5,88,89.5,,92.75,,96,,99.25,,102.5,104.5,,,,,
12/10/2015,61.5,,64,,66.5,,68.75,70,71.5,,74,,76.75,,79.5,,82.5,84,,,,,
12/9/2015,63.25,,65.5,,68,,70.75,72,73.25,,76,,79,,82,,85,86.5,,,,,
12/8/2015,57.75,,60,,62.25,,64.75,66,67,,69.75,,72.25,,75,,77.75,79.25,,,,,
12/7/2015,50.5,,52.5,,54.5,,56.5,57.75,58.75,,61,,63.5,,66,,68.5,69.75,,,,,
12/4/2015,48.75,,50.5,,52.5,,54.75,55.75,57,,59,,61.5,,63.75,,66.25,67.5,,,,,
12/3/2015,60.5,,62.75,,65,,67.5,68.75,70,,72.75,,75.5,,78.25,,81,82.5,,,,,
12/2/2015,52,,54,,56,,58,59,60.25,,62.5,,65,,67.25,,70,71.25,,,,,
12/1/2015,47,,49,,51,,53,54,55,,57,,59.25,,61.5,,64,65,,,,,
11/30/2015,53.75,,55.75,,58,,60.25,61.25,62.5,,64.75,,67.25,,69.75,,72.5,73.75,,,,,
11/27/2015,51.5,,53.5,,55.5,,57.75,58.75,60,,62.25,,64.5,,67,,69.5,70.75,,,,,
11/25/2015,52.5,,54.25,,56.25,,58.5,59.5,60.5,,63,,65.25,,67.75,,70.25,71.5,,,,,
11/24/2015,54.25,,56.25,,58.25,,60.5,61.5,62.5,,65,,67.5,,70,,72.5,73.75,,,,,
11/23/2015,53.75,,55.75,,58,,60.25,61.25,62.5,,64.75,,67.25,,69.75,,72.25,73.5,,,,,
11/20/2015,54,,56,,58,,60.25,61.25,62.5,,64.75,,67,,69.5,,72.25,73.5,,,,,
11/19/2015,58,,60,,62.25,,64.5,65.75,67,,69.25,,71.75,,74.25,,76.75,78,,,,,
11/18/2015,55.75,,58,,60,,62.25,63.5,64.5,,67,,69.5,,72,,74.75,76.25,,,,,
11/17/2015,65,,67.5,,70,,72.75,74,75.25,,78,,81,,84,,87,88.5,,,,,
11/16/2015,65,,67.25,,69.75,,72.5,73.75,75,,77.75,,80.5,,83.5,,86.5,88,,,,,
11/13/2015,76.75,,79.5,,82.5,,85.25,86.75,88.25,,91.5,,94.5,,98,,101.25,103,,,,,
11/12/2015,68,,70.5,,73,,75.5,77,78.5,,81.25,,84,,87,,90.25,91.75,,,,,
11/11/2015,57.75,,60,,62.25,,64.5,65.75,67,,69.5,,72,,74.5,,77.5,78.75,,,,,
11/10/2015,54.75,,56.75,,59,,61.25,62.25,63.5,,66,,68.5,,71,,73.75,75.25,,,,,
11/9/2015,58,,60,,62.25,,64.5,65.75,67,,69.5,,72,,74.75,,77.5,78.75,,,,,
11/6/2015,51.5,,53.5,,55.5,,57.5,58.75,59.75,,62,,64.5,,66.75,,69.25,70.5,,,,,
11/5/2015,53.25,,55.25,,57.25,,59.5,60.5,61.5,,63.75,,66,,68.5,,71,72.25,,,,,
11/4/2015,53.75,,55.75,,57.75,,60,61,62,,64.5,,66.75,,69,,71.5,73,,,,,
11/3/2015,50.5,,52.5,,54.25,,56.25,57.25,58.25,,60.5,,62.75,,65.25,,67.5,68.75,,,,,
11/2/2015,51.5,,53.5,,55.5,,57.5,58.5,59.5,,61.75,,64.25,,66.5,,69,70.5,,,,,
10/30/2015,58.75,,61,,63.25,,65.5,66.75,68,,70.5,,73,,75.5,,78.25,79.75,,,,,
10/29/2015,56.75,,58.75,,61,,63,64.25,65.5,,67.75,,70.25,,72.75,,75.5,77,,,,,
10/28/2015,56,,58,,60,,62.25,63.5,64.5,,67,,69.5,,72,,74.5,76,,,,,
10/27/2015,62.75,,65,,67.5,,69.75,71,72.5,,75,,77.75,,80.75,,83.5,85,,,,,
10/26/2015,63,,65.5,,67.75,,70,71.25,72.5,,75.25,,78,,80.75,,83.75,85.25,,,,,
10/23/2015,60.75,,63,,65,,67.5,68.75,70,,72.5,,75.25,,78,,81,82.5,,,,,
10/22/2015,63,,65.25,,67.75,,70.25,71.5,72.75,,75.5,,78.25,,81.25,,84.25,85.75,,,,,
10/21/2015,79,,82,,85,,88,89.5,91,,94.25,,97.5,,101,,104.5,106.5,,,,,
10/20/2015,74,,76.5,,79.25,,82,83.5,85,,88.25,,91.5,,94.75,,98,99.75,,,,,
10/19/2015,70.75,,73.25,,76,,78.75,80,81.5,,84.5,,87.75,,91,,94.5,96.25,,,,,
10/16/2015,74.5,,77.25,,80,,83,84.5,86,,89,,92.25,,95.5,,99,100.5,,,,,
10/15/2015,77.25,,80,,83,,86,87.5,89,,92.25,,95.5,,98.75,,102.25,104,,,,,
10/14/2015,91.75,,95,,98.25,,101.75,103.5,105.25,,108.75,,112.5,,116.5,,120.25,122.25,,,,,
10/13/2015,87.75,,90.75,,94,,97.25,99,100.5,,104,,107.75,,111.5,,115.25,117,,,,,
10/12/2015,79.5,,82.5,,85.5,,88.5,90,91.75,,95,,98.25,,101.75,,105.5,107.25,,,,,
10/9/2015,84,,87,,90,,93,94.75,96.25,,99.5,,103,,106.5,,110,112,,,,,
10/8/2015,84.5,,87.5,,90.5,,93.5,95.25,96.75,,100.25,,103.5,,107,,110.75,112.75,,,,,
10/7/2015,93,,96,,99.5,,102.75,104.5,106.25,,110,,113.75,,117.5,,121.5,123.5,,,,,
10/6/2015,100.75,,104,,107.5,,111,113,114.75,,118.5,,122.5,,126.5,,130.75,132.75,,,,,
10/5/2015,98.5,,102,,105.5,,109,110.75,112.5,,116.25,,120.25,,124.25,,128.25,130.5,,,,,
10/2/2015,113.25,,116.75,,120.5,,124.25,126.25,128.25,,132.25,,136.25,,140.5,,145,147.5,,,,,
10/1/2015,125.5,,129.5,,133.75,,138,140.25,142.5,,147,,151.5,,156.25,,161.25,163.75,,,,,
9/30/2015,130,,134.25,,138.5,,142.75,145,147.25,,152,,156.75,,161.5,,166.5,169.25,,,,,
9/29/2015,147,,151.75,,156.5,,161,163.5,166,,171,,176.25,,181.5,,187,189.75,,,,,
9/28/2015,149.5,,154,,158.5,,163.25,165.75,168.25,,173.5,,178.5,,183.75,,189.25,192,,,,,
9/25/2015,125.5,,129.5,,133.5,,137.75,139.75,142,,146.5,,151,,155.75,,160.5,163,,,,,
9/24/2015,125,,129,,133.25,,137.5,139.75,142,,146.5,,151.25,,156,,160.75,163.25,,,,,
9/23/2015,119,,123,,127,,131,133,135.25,,139.5,,144,,148.5,,153,155.5,,,,,
9/22/2015,120,,123.75,,127.75,,131.75,133.75,135.75,,140,,144.25,,148.75,,153.25,155.5,,,,,
9/21/2015,104.5,,108,,111.5,,115,117,118.75,,122.75,,126.5,,130.75,,134.75,137,,,,,
9/18/2015,114,,117.5,,121,,124.75,126.5,128.5,,132.5,,136.5,,140.5,,144.75,147,,,,,
9/17/2015,103,,106.25,,109.5,,113,114.75,116.5,,120.25,,124,,127.75,,131.75,133.75,,,,,
9/16/2015,98.75,,102,,105.25,,108.5,110.25,112,,115.5,,119.25,,123,,126.75,128.75,,,,,
9/15/2015,109.5,,113,,116.5,,120,122,123.75,,127.5,,131.5,,135.5,,139.75,141.75,,,,,
9/14/2015,124.5,,128,,131.75,,135.5,137.5,139.5,,143.5,,147.5,,151.75,,156.25,158.5,,,,,
9/11/2015,121.25,,124.75,,128.25,,132,134,135.75,,139.75,,143.75,,147.75,,152,154.25,,,,,
9/10/2015,126.25,,130,,133.5,,137.5,139.25,141.25,,145.25,,149.25,,153.5,,158,160.25,,,,,
9/9/2015,130,,133.75,,137.5,,141.5,143.5,145.5,,149.75,,154,,158.5,,163,165,,,,,
9/8/2015,121.25,,124.75,,128.25,,132,134,135.75,,139.75,,143.75,,147.75,,152,154.25,,,,,
9/4/2015,142.25,,146.25,,150.5,,154.5,156.75,159,,163.5,,168,,172.75,,177.5,180,,,,,
9/3/2015,129.75,,133.5,,137.25,,141,143,145,,149.25,,153.5,,157.75,,162.25,164.5,,,,,
9/2/2015,128.5,,132,,136,,140,142,144,,148,,152.25,,156.75,,161.25,163.5,,,,,
9/1/2015,145.75,,149.75,,153.75,,158.25,160.5,162.5,,167,,171.75,,176.5,,181.25,183.75,,,,,
8/31/2015,119.25,,122.75,,126.25,,130,131.75,133.75,,137.5,,141.5,,145.75,,149.75,152,,,,,
8/28/2015,109,,112.25,,115.5,,119,120.75,122.5,,126,,129.75,,133.5,,137.5,139.5,,,,,
8/27/2015,105.25,,108.5,,112,,115.5,117.25,119.25,,123,,126.75,,130.75,,134.75,136.75,,,,,
8/26/2015,123.5,,127.25,,131,,135,137,139.25,,143.5,,147.75,,152.25,,156.75,159,,,,,
8/25/2015,155.75,,160.25,,165,,169.75,172,174.5,,179.75,,184.75,,190,,195.5,198.5,,,,,
8/24/2015,157.25,,161.75,,166.5,,171.25,173.5,176,,181,,186,,191.5,,196.75,199.5,,,,,
8/21/2015,109.25,,112.75,,116.25,,120,121.75,123.5,,127.5,,131.5,,135.5,,139.5,141.75,,,,,
8/20/2015,86.5,,89.5,,92.5,,95.5,97,98.75,,102,,105.25,,108.5,,111.75,113.5,,,,,
8/19/2015,69.5,,71.75,,74.25,,76.75,78,79.25,,82,,84.75,,87.5,,90.5,92,,,,,
8/18/2015,63.75,,66,,68,,70.5,71.75,73,,75.25,,78,,80.5,,83.25,84.5,,,,,
8/17/2015,61.5,,63.5,,66,,68.25,69.25,70.5,,73,,75.5,,78,,80.75,82.25,,,,,
8/14/2015,64.5,,66.75,,69,,71.5,72.75,74,,76.5,,79,,81.75,,84.5,86,,,,,
8/13/2015,67.5,,69.75,,72.25,,74.75,76,77.5,,80,,82.75,,85.5,,88.25,89.75,,,,,
8/12/2015,66.5,,69,,71.25,,73.75,75,76.25,,79,,81.75,,84.5,,87.5,88.75,,,,,
8/11/2015,67.75,,70,,72.5,,75,76,77.5,,80,,82.75,,85.5,,88.5,90,,,,,
8/10/2015,61,,63.25,,65.5,,67.75,69,70.25,,72.5,,75,,77.75,,80.5,81.75,,,,,
8/7/2015,68,,70.5,,73,,75.5,76.75,78.25,,81,,83.75,,86.75,,89.75,91.25,,,,,
8/6/2015,67.5,,70,,72.5,,75,76.25,77.5,,80.25,,83,,86,,89,90.25,,,,,
8/5/2015,63.25,,65.5,,67.75,,70.25,71.5,72.75,,75.25,,78,,80.5,,83.5,84.75,,,,,
8/4/2015,66.25,,68.75,,71,,73.5,75,76.25,,79,,81.75,,84.5,,87.5,89,,,,,
8/3/2015,64.5,,67,,69.25,,71.5,72.75,74,,76.5,,79.25,,82,,84.75,86.25,,,,,
7/31/2015,63.75,,66,,68.25,,70.5,71.75,73,,75.5,,78,,80.75,,83.5,84.75,,,,,
7/30/2015,62.5,,64.5,,66.75,,69,70.25,71.5,,73.75,,76.25,,79,,81.5,83,,,,,
7/29/2015,63.75,,66,,68.25,,70.5,71.75,73,,75.25,,77.75,,80.25,,83,84.5,,,,,
7/28/2015,67.5,,70,,72.25,,74.75,76,77.25,,80,,82.5,,85.5,,88.25,89.75,,,,,
7/27/2015,76.25,,78.75,,81.25,,84,85.5,86.75,,89.75,,92.75,,95.75,,98.75,100.5,,,,,
7/24/2015,71,,73.5,,76,,78.75,80,81.25,,84,,86.75,,89.5,,92.5,94,,,,,
7/23/2015,65.5,,67.75,,70,,72.25,73.5,74.75,,77.25,,79.75,,82.5,,85.25,86.5,,,,,
7/22/2015,63,,65,,67.25,,69.5,70.5,71.75,,74.25,,76.75,,79.25,,81.75,83,,,,,
7/21/2015,61.75,,64,,66,,68.25,69.5,70.5,,73,,75.5,,78,,80.5,82,,,,,
7/20/2015,60.5,,62.75,,64.75,,67,68,69.25,,71.5,,74,,76.5,,79,80.25,,,,,
7/17/2015,61.75,,63.75,,66,,68,69.25,70.5,,72.75,,75,,77.5,,80.25,81.5,,,,,
7/16/2015,62.5,,64.5,,66.5,,69,70,71.25,,73.5,,76,,78.5,,81,82.5,,,,,
7/15/2015,66.5,,68.75,,71,,73.25,74.5,75.75,,78.25,,80.75,,83.25,,86,87.25,,,,,
7/14/2015,67,,69.25,,71.5,,73.75,75,76.25,,78.75,,81.25,,84,,86.5,88,,,,,
7/13/2015,68.75,,71,,73.25,,75.75,77,78,,80.75,,83.25,,86,,88.75,90.25,,,,,
7/10/2015,79.5,,82,,84.5,,87.25,88.5,90,,92.75,,95.75,,98.75,,101.75,103.25,,,,,
7/9/2015,91.5,,94.25,,97,,100,101.5,103,,106.25,,109.5,,112.75,,116.25,118,,,,,
7/8/2015,90.5,,93.5,,96.25,,99.25,100.75,102.25,,105.5,,108.5,,112,,115.25,117,,,,,
7/7/2015,78,,80.5,,83.25,,85.75,87.25,88.5,,91.5,,94.25,,97.25,,100.25,101.75,,,,,
7/6/2015,82.5,,85,,87.75,,90.5,92,93.25,,96.25,,99.25,,102.25,,105.5,107,,,,,
7/2/2015,81,,83.5,,86.25,,89,90.25,91.75,,94.5,,97.5,,100.75,,104,105.5,,,,,
7/1/2015,79,,81.5,,84,,86.75,88,89.5,,92.5,,95.25,,98.25,,101.5,103,,,,,
6/30/2015,86.75,,89.5,,92.25,,95.25,96.5,98,,101.25,,104.25,,107.5,,110.75,112.5,,,,,
6/29/2015,89.75,,92.5,,95.5,,98.25,99.75,101.25,,104.25,,107.5,,110.75,,114,115.75,,,,,
6/26/2015,73.25,,75.5,,78,,80.5,81.5,83,,85.5,,88.25,,91,,94,95.5,,,,,
6/25/2015,74.5,,77,,79.25,,81.75,83,84.5,,87,,89.75,,92.5,,95.5,97,,,,,
6/24/2015,73,,75.5,,77.75,,80.25,81.5,82.75,,85.25,,88,,90.75,,93.75,95,,,,,
6/23/2015,69.25,,71.5,,73.75,,76,77.25,78.5,,80.75,,83.5,,86,,88.75,90,,,,,
6/22/2015,71.25,,73.5,,75.75,,78.25,79.5,80.75,,83.25,,85.75,,88.5,,91,92.5,,,,,
6/19/2015,0.05,,0.05,,0.05,,0.05,0.05,0.05,,0.05,,0.05,,0.05,,0.05,0.05,,,,,
